model_error,format_error,batch_size,n_policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,prompt_tokens,completion_tokens,total_cost,diff
,,1,3,300,0,0,12.989115953445435,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,1,4.645304918289185,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,2,32.73339796066284,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'(""luxembourg"",""100.0.4.0/24"")': ['basel']}, 'old_value': {'(luxembourg,100.0.4.0/24)': ['basel']}}, ""root['loadbalancing']"": {'new_value': {'(""luxembourg"",""100.0.4.0/24"")': 4}, 'old_value': {'(luxembourg,100.0.4.0/24)': 4}}}}"
,,1,3,300,0,3,32.88715195655823,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,4,4.672889232635498,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,5,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'result': 'Conflict in requirements: Reachability and load balancing cannot be achieved simultaneously for (luxembourg, 100.0.1.0/24).'}"
,,1,3,300,0,6,5.647265911102295,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,7,15.523916006088257,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'istanbul,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(istanbul,100.0.9.0/24)': ['rotterdam']}}, ""root['loadbalancing']"": {'new_value': {'istanbul,100.0.9.0/24': 2}, 'old_value': {'(istanbul,100.0.9.0/24)': 2}}}}"
,,1,3,300,0,8,26.4777889251709,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,9,16.246256113052368,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,10,5.041610956192017,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,11,15.242521047592163,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,12,4.770117998123169,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,13,15.942431926727295,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,14,10.473056077957153,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,15,4.91863489151001,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,16,27.831536769866943,3,3,0,0,1.0,0,0,0,{}
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,17,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,18,13.189432144165039,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'(""geneva"",""100.0.4.0/24"")': ['basel']}, 'old_value': {'(geneva,100.0.4.0/24)': ['basel']}}, ""root['loadbalancing']"": {'new_value': {'(""geneva"",""100.0.4.0/24"")': 3}, 'old_value': {'(geneva,100.0.4.0/24)': 3}}}}"
,,1,3,300,0,19,5.564145088195801,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,20,0,0,0,0,0,0,0,0,0,"{'status': 'ERROR', 'result': ""Conflict in requirements for 'barcelona' and '100.0.1.0/24': Both reachability through kiev and load balancing across 3 paths are required.""}"
,,1,3,300,0,21,31.001758813858032,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,22,12.27080488204956,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,23,17.93718409538269,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,24,12.900502920150757,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,25,44.684991121292114,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,26,57.448686838150024,3,3,0,0,1.0,0,0,0,{}
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,27,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,28,52.41282677650452,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,29,20.81670594215393,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'(""warsaw"",""100.0.4.0/24"")': ['basel']}, 'old_value': {'(warsaw,100.0.4.0/24)': ['basel']}}, ""root['loadbalancing']"": {'new_value': {'(""warsaw"",""100.0.4.0/24"")': 2}, 'old_value': {'(warsaw,100.0.4.0/24)': 2}}}}"
,,1,3,300,0,30,33.374566078186035,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'sofia,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(sofia,100.0.9.0/24)': ['rotterdam']}}, ""root['loadbalancing']"": {'new_value': {'sofia,100.0.9.0/24': 4}, 'old_value': {'(sofia,100.0.9.0/24)': 4}}}}"
,,1,3,300,0,31,6.192002058029175,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,32,40.502885818481445,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,33,5.947246789932251,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,34,4.9171059131622314,2,2,1,0,0.6666666666666666,0,0,0,"{'dictionary_item_added': [""root['kiev']""], 'dictionary_item_removed': [""root['waypoint']['(sofia,100.0.1.0/24)']""]}"
,,1,3,300,0,35,27.517787218093872,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'(""london"",""100.0.4.0/24"")': ['basel']}, 'old_value': {'(london,100.0.4.0/24)': ['basel']}}, ""root['loadbalancing']"": {'new_value': {'(""london"",""100.0.4.0/24"")': 2}, 'old_value': {'(london,100.0.4.0/24)': 2}}}}"
,,1,3,300,0,36,5.95612907409668,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,37,35.44656467437744,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,38,21.445168256759644,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,39,9.411489009857178,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'(""lyon"",""100.0.4.0/24"")': ['basel']}, 'old_value': {'(lyon,100.0.4.0/24)': ['basel']}}, ""root['loadbalancing']"": {'new_value': {'(""lyon"",""100.0.29.0/24"")': 2}, 'old_value': {'(lyon,100.0.29.0/24)': 2}}}}"
,,1,3,300,0,40,6.701782941818237,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,41,71.22701072692871,3,3,0,0,1.0,0,0,0,{}
"the JSON object must be str, bytes or bytearray, not NoneType",,1,3,300,0,42,0,0,0,0,0,0,0,0,0,
,,1,3,300,0,43,7.9209699630737305,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'madrid,100.0.9.0/24': ['rotterdam']}, 'old_value': {'(madrid,100.0.9.0/24)': ['rotterdam']}}, ""root['loadbalancing']"": {'new_value': {'madrid,100.0.9.0/24': 2}, 'old_value': {'(madrid,100.0.9.0/24)': 2}}}}"
,,1,3,300,0,44,41.80904412269592,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,45,37.91071915626526,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,46,25.12153911590576,4,3,0,1,1.0,0,0,0,"{'dictionary_item_added': [""root['reachability']['london']""]}"
,,1,3,300,0,47,14.916240930557251,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,48,7.364196300506592,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,49,48.28962516784668,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,50,8.45241403579712,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'(""basel"",""100.0.9.0/24"")': ['rotterdam']}, 'old_value': {'(basel,100.0.9.0/24)': ['rotterdam']}}, ""root['loadbalancing']"": {'new_value': {'(""basel"",""100.0.9.0/24"")': 2}, 'old_value': {'(basel,100.0.9.0/24)': 2}}}}"
,,1,3,300,0,51,6.487067222595215,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,52,6.628050804138184,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,53,8.460401058197021,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {'(""athens"",""100.0.9.0/24"")': ['rotterdam']}, 'old_value': {'(athens,100.0.9.0/24)': ['rotterdam']}}, ""root['loadbalancing']"": {'new_value': {'(""athens"",""100.0.9.0/24"")': 2}, 'old_value': {'(athens,100.0.9.0/24)': 2}}}}"
,,1,3,300,0,54,20.794098138809204,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {""('athens','100.0.1.0/24')"": ['kiev']}, 'old_value': {'(athens,100.0.1.0/24)': ['kiev']}}, ""root['loadbalancing']"": {'new_value': {""('athens','100.0.1.0/24')"": 2}, 'old_value': {'(athens,100.0.1.0/24)': 2}}}}"
,,1,3,300,0,55,6.414545059204102,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,56,15.093139886856079,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,57,21.15476679801941,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,58,6.5649919509887695,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,59,14.837405920028687,3,3,0,0,1.0,0,0,0,{}
,,1,3,300,0,60,8.230790138244629,3,1,2,2,0.3333333333333333,0,0,0,"{'values_changed': {""root['waypoint']"": {'new_value': {""('praha','100.0.1.0/24')"": ['kiev']}, 'old_value': {'(praha,100.0.1.0/24)': ['kiev']}}, ""root['loadbalancing']"": {'new_value': {""('praha','100.0.1.0/24')"": 2}, 'old_value': {'(praha,100.0.1.0/24)': 2}}}}"
